,date,link,title,length,transcribed
41,2010/07/30,https://www.youtube.com/watch?v=NrV8Pg_nhpM,うんこちゃん×布団ちゃん×よっちゃん『雑談』1枠目【2010/07/30】,1787.0,4
42,2010/07/30,https://www.youtube.com/watch?v=R2qKiElntpU,うんこちゃん×布団ちゃん×よっちゃん『まったり』2枠目【2010/07/30】,253.0,-1
43,2010/07/30,https://www.youtube.com/watch?v=piq2M2cFMuw,うんこちゃん×布団ちゃん×よっちゃん『まったり』3枠目【2010/07/30】,1789.0,4
44,2010/07/30,https://www.youtube.com/watch?v=ikQYxZSoeeQ,うんこちゃん×布団ちゃん×よっちゃん『最後』4枠目【2010/07/30】,1778.0,-1
45,2010/07/30,https://www.youtube.com/watch?v=AGlsLBQ_000,うんこちゃん『動物飼いたい』【2010/07/30】,1786.0,-1
46,2010/07/31,https://www.youtube.com/watch?v=CAe9KRTMuqY,うんこちゃん『禁煙』【2010/07/31】,1774.0,-1
47,2010/07/31,https://www.youtube.com/watch?v=zTKY4k74dJU,うんこちゃん『やんやゆうとりますけど』【2010/07/31】,1786.0,4
48,2010/07/31,https://www.youtube.com/watch?v=Eq8FrDHj_f4,うんこちゃん『やんやゆうとりますけど２』【2010/07/31】,1771.0,-1
49,2010/08/02,https://www.youtube.com/watch?v=h_bGHfCcImE,うんこちゃん『把握しますた』【2010/08/02】,1803.0,-1
50,2010/08/02,https://www.youtube.com/watch?v=Nq7_nNyeViI,うんこちゃん『。』【2010/08/02】,1661.0,4
51,2010/08/02,https://www.youtube.com/watch?v=guCpiIZYItQ,うんこちゃん『待つ』【2010/08/02】,1595.0,-1
52,2010/08/02,https://www.youtube.com/watch?v=vS0KfEsAx90,うんこちゃん『なんかやろう会』【2010/08/02】,1271.0,4
53,2010/08/02,https://www.youtube.com/watch?v=NxkD21-I4Cc,うんこちゃん『忘れられないﾗｰﾊﾞｿｰ』【2010/08/02】,1780.0,-1
54,2010/08/02,https://www.youtube.com/watch?v=4JZUkk6693c,うんこちゃん『フェスタについて』【2010/08/02】,1239.0,-1
55,2010/08/03,https://www.youtube.com/watch?v=Jdata6UPFcE,うんこちゃん『稟議』【2010/08/03】,1667.0,-1
56,2010/08/03,https://www.youtube.com/watch?v=apQ7DQED5PE,うんこちゃん『稟議』【2010/08/03】,1667.0,4
57,2010/08/03,https://www.youtube.com/watch?v=1y2P5IC07Bw,うんこちゃんxもこうxフェニックスx蛟『もこうのUSTで裏フェス作戦会議』【2010/08/03】,9671.0,-1
58,2010/08/03,https://www.youtube.com/watch?v=UuXftzp-ul0,うんこちゃん×布団ちゃん『あ』【2010/08/03】,1763.0,4
59,2010/08/03,https://www.youtube.com/watch?v=9pgIlxKPpeY,うんこちゃん×布団ちゃん『反省会』【2010/08/03】,1723.0,-1
60,2010/08/04,https://www.youtube.com/watch?v=RvAPw-seipA,うんこちゃん『aaa』(1枠目)【2010/08/04】,1736.0,4
